# auto-battlebot velocity jig command log
# columns: t_host_s,linear,angular,trim,meas_linear,meas_angular,meas_arm
# rate_hz=50.0 waveform=lin_coast run=LOG-36.TXT
223726.826402,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.846564,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.866664,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.886770,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.907036,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.927243,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.947449,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.967660,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.987840,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.008018,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.028299,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.048523,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.068687,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.088890,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.109101,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.129275,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.149480,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.169706,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.189871,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.210075,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.230277,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.250434,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.270528,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.290733,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.310936,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.331164,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.351340,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.371573,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.391670,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.411874,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.432092,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.452290,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.472498,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.492732,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.512905,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.533097,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.553305,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.573552,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.593714,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.613791,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.633987,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.654207,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.674304,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.694486,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.714699,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223727.734976,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
