# auto-battlebot velocity jig
# columns: t_us,count,gx,gy,gz,ax,ay,az  (raw int16 imu)
# encoder: quadrature x4 (constant column if unplugged)
# sample_rate_hz=1000 gyro_dps_per_lsb=0.140 accel_g_per_lsb=0.000488
4693961486,0,4,-7,-1,-3,21,-2047
4693962486,0,5,-2,-6,6,26,-2045
4693963486,0,1,-4,-1,3,31,-2047
4693964486,0,0,-3,-2,4,23,-2043
4693965486,0,2,-2,0,12,23,-2047
4693966486,0,1,-1,-3,14,26,-2048
4693967486,0,4,-2,-3,2,16,-2046
4693968486,0,4,-2,-4,-1,23,-2046
4693969486,0,4,-3,-5,-8,22,-2048
4693970486,0,4,0,-4,3,26,-2044
4693971486,0,3,-1,-4,7,22,-2046
4693972486,0,3,-4,-3,4,28,-2050
4693973486,0,3,-1,-6,8,22,-2042
4693974486,0,1,0,-4,-3,19,-2045
4693975486,0,-1,-2,-1,-4,25,-2044
4693976486,0,-1,0,-2,7,22,-2051
4693977486,0,3,-3,-3,5,30,-2047
4693978486,0,-1,-2,-1,2,24,-2043
4693979486,0,-1,1,-1,3,27,-2048
4693980486,0,0,-5,-2,0,31,-2035
4693981486,0,1,0,-1,2,24,-2048
4693982486,0,2,-1,-3,2,34,-2042
4693983486,0,1,3,1,2,23,-2045
4693984486,0,2,-3,-1,10,21,-2039
4693985486,0,1,-4,-3,-1,25,-2049
4693986486,0,8,-1,-6,7,26,-2044
4693987486,0,-5,-1,-4,7,25,-2042
4693988486,0,1,-2,-3,2,26,-2042
4693989486,0,-1,-1,0,1,24,-2043
4693990486,0,3,-1,-2,12,21,-2046
4693991486,0,1,0,-2,1,32,-2044
4693992486,0,2,-3,-5,4,22,-2043
4693993486,0,1,-2,-1,5,38,-2040
4693994486,0,4,-4,-4,1,28,-2043
4693995486,0,1,-2,-1,12,25,-2051
4693996486,0,3,-3,-4,9,25,-2042
4693997486,0,4,1,-5,3,22,-2048
4693998486,0,3,-2,-1,9,26,-2040
4693999486,0,4,-2,0,4,25,-2052
4694000486,0,2,-2,-3,0,27,-2043
4694001486,0,4,-3,0,1,20,-2044
4694002486,0,2,0,-2,8,27,-2042
4694003486,0,2,0,0,2,25,-2045
4694004486,0,3,-3,-1,5,25,-2036
4694005486,0,3,-1,-3,7,21,-2049
4694006486,0,0,-2,0,-3,25,-2041
4694007486,0,-2,0,2,7,22,-2045
4694008486,0,1,-4,-3,1,25,-2046
4694009486,0,4,-3,-1,0,34,-2046
4694010486,0,1,-3,-7,-2,30,-2048
4694011486,0,1,-2,-3,11,25,-2038
4694012486,0,3,-3,-5,5,23,-2037
4694013486,0,4,-4,-3,-1,28,-2051
4694014486,0,3,-3,-3,3,21,-2049
4694015486,0,1,-2,-3,0,27,-2039
4694016486,0,-2,2,-3,-3,29,-2043
4694017486,0,-2,0,0,1,31,-2047
4694018486,0,0,2,-1,6,22,-2044
4694019486,0,2,-2,-4,5,25,-2046
4694020486,0,3,-4,-4,0,26,-2046
4694021486,0,0,-2,-3,-2,25,-2042
4694022486,0,3,-3,-2,2,28,-2046
4694023486,0,3,-5,-4,6,19,-2039
4694024486,0,0,-1,0,1,24,-2049
4694025486,0,1,-2,1,10,24,-2046
4694026486,0,3,-2,-6,5,26,-2046
4694027486,0,5,-3,-5,4,26,-2047
4694028486,0,-1,1,-2,2,21,-2046
4694029486,0,-5,0,-2,1,28,-2046
4694030486,0,2,-3,-2,0,27,-2041
4694031486,0,1,-3,-3,2,24,-2045
4694032486,0,5,-1,-4,11,26,-2042
4694033486,0,5,-1,-3,3,28,-2041
4694034486,0,5,-7,-4,-1,29,-2052
4694035486,0,5,-1,-4,1,26,-2042
4694036486,0,3,-5,-2,10,28,-2049
4694037486,0,4,-2,-4,1,28,-2040
4694038486,0,0,-1,-3,3,25,-2042
4694039486,0,2,-4,-5,4,24,-2037
4694040486,0,3,-2,-2,9,25,-2046
4694041486,0,3,-2,-1,6,28,-2049
4694042486,0,-2,-2,-4,4,26,-2043
4694043486,0,3,-1,-4,0,20,-2058
4694044486,0,5,-2,-2,3,31,-2044
4694045486,0,-1,-1,-1,4,20,-2043
4694046486,0,1,-1,-2,2,30,-2052
4694047486,0,0,-2,-5,0,26,-2043
4694048486,0,3,-5,0,2,25,-2054
4694049486,0,4,-6,-4,-2,26,-2048
4694050486,0,4,-1,-3,-2,20,-2043
4694051486,0,-1,-3,-2,-4,16,-2042
4694052486,0,3,-5,-3,-1,27,-2039
4694053486,0,2,-1,-2,6,32,-2039
4694054486,0,5,-2,-6,-2,24,-2045
4694055486,0,1,-4,-5,6,27,-2047
4694056486,0,3,-1,-2,1,18,-2049
4694057486,0,2,-1,-1,4,22,-2044
4694058486,0,-1,0,-2,8,32,-2040
4694059486,0,5,-2,-5,0,28,-2044
4694060486,0,-2,-3,-3,3,24,-2051
4694061486,0,-2,4,0,-2,24,-2044
4694062486,0,3,-3,-3,3,18,-2045
4694063486,0,3,-2,-3,3,29,-2045
4694064486,0,1,-2,-1,-2,24,-2043
4694065486,0,2,-1,-3,4,28,-2045
4694066486,0,3,-4,-8,7,26,-2044
4694067486,0,3,-1,-4,1,32,-2047
4694068486,0,3,-5,-4,3,32,-2054
4694069486,0,2,-5,-4,2,27,-2047
4694070486,0,3,0,-2,-1,24,-2045
4694071486,0,4,-3,-3,3,24,-2047
4694072486,0,-1,-1,-3,6,23,-2051
4694073486,0,3,-8,-4,9,34,-2045
4694074486,0,2,-2,-6,0,25,-2044
4694075486,0,2,-2,-4,10,33,-2052
4694076486,0,2,-2,-2,2,25,-2036
4694077486,0,3,-1,-3,6,31,-2042
4694078486,0,-1,-2,-3,2,31,-2043
4694079486,0,4,-2,-2,1,23,-2043
4694080486,0,-2,-1,-4,-2,28,-2045
4694081486,0,2,-1,-4,3,21,-2044
4694082486,0,2,-1,-4,5,30,-2046
4694083486,0,-2,-2,-1,6,31,-2043
4694084486,0,4,-4,-2,6,21,-2055
4694085486,0,1,1,-2,1,29,-2049
4694086486,0,3,-6,-2,-4,32,-2033
4694087486,0,3,-4,-3,12,22,-2040
4694088486,0,2,1,-5,3,26,-2052
4694089486,0,2,-1,-3,5,28,-2052
4694090486,0,0,0,-6,7,18,-2051
4694091486,0,4,1,-2,10,25,-2050
4694092486,0,2,-6,-6,1,22,-2052
4694093486,0,-3,2,-3,14,25,-2045
4694094486,0,2,0,-7,4,23,-2048
4694095486,0,1,-1,-7,-2,33,-2049
4694096486,0,2,-3,-5,3,33,-2042
4694097486,0,-2,-1,-1,-1,31,-2049
4694098486,0,1,1,-2,2,35,-2046
4694099486,0,1,0,-6,-2,24,-2041
4694100486,0,3,-3,-10,5,35,-2053
4694101486,0,1,-5,-5,-3,29,-2046
4694102486,0,3,1,-1,-2,30,-2043
4694103486,0,3,-3,-1,4,27,-2042
