# auto-battlebot velocity jig
# columns: t_us,count,gx,gy,gz,ax,ay,az  (raw int16 imu)
# encoder: quadrature x4 (constant column if unplugged)
# sample_rate_hz=1000 gyro_dps_per_lsb=0.070 accel_g_per_lsb=0.000244
5117035103,0,4,-4,-6,27,48,-4075
5117036103,0,7,-4,-6,50,38,-4095
5117037103,0,7,-7,-3,54,39,-4093
5117038103,0,5,-8,-14,31,51,-4095
5117039103,0,8,-1,-11,40,46,-4090
5117040103,0,1,-6,-11,45,50,-4080
5117041103,0,2,-3,-7,54,48,-4073
5117042103,0,6,-1,-9,41,54,-4085
5117043103,0,8,-6,-11,47,38,-4091
5117044103,0,4,-6,-9,48,40,-4084
5117045103,0,4,-7,-3,51,54,-4094
5117046103,0,7,-5,-8,44,51,-4094
5117047103,0,7,-6,-9,53,52,-4090
5117048103,0,8,-5,-5,54,44,-4083
5117049103,0,4,-1,-7,63,47,-4082
5117050103,0,1,-2,-3,49,42,-4088
5117051103,0,5,-6,-5,44,31,-4102
5117052103,0,-1,-1,-4,55,61,-4084
5117053103,0,7,-3,-7,49,55,-4087
5117054103,0,6,0,-6,53,40,-4078
5117055103,0,-3,1,-10,43,38,-4097
5117056103,0,4,-3,-4,31,29,-4083
5117057103,0,4,-4,-8,31,49,-4089
5117058103,0,1,-4,-5,48,51,-4083
5117059103,0,10,-5,-11,37,40,-4072
5117060103,0,1,-2,-4,42,40,-4069
5117061103,0,2,-7,-9,46,37,-4071
5117062103,0,4,-2,-8,55,51,-4097
5117063103,0,2,-4,-4,48,40,-4079
5117064103,0,4,-6,-4,52,49,-4086
5117065103,0,3,-4,-3,50,16,-4082
5117066103,0,1,3,-1,47,45,-4079
5117067103,0,5,-5,-5,47,39,-4085
5117068103,0,7,2,-7,47,30,-4098
5117069103,0,6,-6,-9,52,37,-4097
5117070103,0,5,-8,-5,48,35,-4098
5117071103,0,2,1,-7,38,42,-4090
5117072103,0,6,-7,-13,22,38,-4089
5117073103,0,0,-1,-10,29,42,-4117
5117074103,0,4,-6,-4,42,33,-4089
5117075103,0,6,-5,-6,48,43,-4094
5117076103,0,4,-4,-11,44,43,-4075
5117077103,0,4,-2,-6,32,35,-4092
5117078103,0,3,-10,-3,37,46,-4100
5117079103,0,2,-5,-4,38,46,-4090
5117080103,0,5,-7,-5,42,58,-4073
5117081103,0,6,-7,-4,46,48,-4092
5117082103,0,7,0,-9,66,36,-4085
5117083103,0,8,-6,-8,48,46,-4091
5117084103,0,5,-8,-6,51,58,-4104
5117085103,0,2,-5,-4,39,55,-4091
5117086103,0,4,-5,-4,46,44,-4096
5117087103,0,3,-3,-3,58,44,-4095
5117088103,0,6,-10,-10,41,37,-4091
5117089103,0,6,-4,-9,53,52,-4094
5117090103,0,5,-4,-9,47,41,-4086
5117091103,0,6,0,-12,33,41,-4073
5117092103,0,0,-2,-6,36,53,-4090
5117093103,0,0,-3,-12,41,39,-4094
5117094103,0,2,-5,-5,44,57,-4083
5117095103,0,-1,-5,-9,35,35,-4081
5117096103,0,3,-4,-8,31,52,-4102
5117097103,0,4,-1,-6,41,57,-4083
5117098103,0,4,0,-6,48,47,-4088
5117099103,0,5,-5,-9,57,40,-4061
5117100103,0,0,0,-9,57,50,-4093
5117101103,0,5,-7,-5,58,39,-4074
5117102103,0,5,-9,-7,40,54,-4082
5117103103,0,3,0,-3,50,39,-4078
5117104103,0,7,1,-5,41,28,-4080
5117105103,0,3,-5,-8,47,38,-4076
5117106103,0,10,-2,-10,52,36,-4069
5117107103,0,10,-8,-6,27,54,-4065
5117108103,0,5,-4,-9,50,46,-4078
5117109103,0,6,-5,-7,52,35,-4081
5117110103,0,1,0,-6,41,37,-4095
5117111103,0,4,1,-3,42,34,-4083
5117112103,0,2,-1,-9,44,46,-4091
5117113103,0,6,-4,-8,41,44,-4087
5117114103,0,2,-2,-5,54,28,-4079
5117115103,0,8,-1,-4,32,40,-4101
5117116103,0,9,-3,-8,37,51,-4093
5117117103,0,6,-2,-6,42,40,-4088
5117118103,0,6,-1,-7,27,50,-4095
5117119103,0,0,-3,-6,50,50,-4098
5117120103,0,4,-8,-6,58,36,-4100
5117121103,0,9,-3,-6,32,56,-4093
5117122103,0,-1,-6,-9,43,52,-4095
5117123103,0,-1,-5,-5,47,43,-4089
5117124103,0,7,-4,-3,35,56,-4092
