# auto-battlebot velocity jig
# columns: t_us,count,gx,gy,gz,ax,ay,az  (raw int16 imu)
# encoder: quadrature x4 (constant column if unplugged)
# sample_rate_hz=1000 gyro_dps_per_lsb=0.070 accel_g_per_lsb=0.000244
2810496249,0,5,-2,-7,23,27,-4085
2810497249,0,1,-12,-9,21,30,-4087
2810498249,0,5,3,-8,23,15,-4098
2810499249,0,0,-3,-8,28,32,-4087
2810500249,0,3,-6,-10,28,22,-4090
2810501249,0,6,1,-6,14,27,-4084
2810502249,0,6,-10,-8,17,37,-4092
2810503249,0,4,-5,-12,17,20,-4094
2810504249,0,3,-2,-7,7,23,-4090
2810505249,0,1,-4,-10,-5,25,-4079
2810506249,0,7,-3,-4,28,19,-4102
2810507249,0,5,-2,-10,13,36,-4103
2810508249,0,1,-3,-9,22,18,-4106
2810509249,0,9,0,-4,-3,29,-4089
2810510249,0,3,-7,-12,28,4,-4088
2810511249,0,5,-6,-4,18,32,-4102
2810512249,0,6,-2,-7,19,13,-4085
2810513249,0,3,-5,-7,10,33,-4092
2810514249,0,10,-7,-4,12,32,-4091
2810515249,0,2,1,-9,17,22,-4093
2810516249,0,4,-4,-1,12,14,-4095
2810517249,0,3,-3,-9,17,19,-4095
2810518249,0,-3,-8,-3,16,25,-4064
2810519249,0,-1,-6,-5,13,30,-4080
2810520249,0,1,-3,-3,24,39,-4085
2810521249,0,3,-3,-6,13,23,-4094
2810522249,0,3,-3,-7,36,27,-4093
2810523249,0,3,1,-9,27,17,-4076
2810524249,0,4,-2,-11,16,27,-4087
2810525249,0,5,-2,-10,8,29,-4090
2810526249,0,2,-3,-9,16,24,-4081
2810527249,0,5,-5,-9,18,31,-4106
